Ligand ID,Surface Area_CoL2,Surface Volume_CoL2,P_int_CoL2,Vb_R2.5_CoL2,Vb_R3.0_CoL2,Vb_R3.5_CoL2,Vb_R4.0_CoL2,Vb_R4.5_CoL2,Surface Area_Free,Surface Volume_Free,P_int_Free,Surface Area_Res,Surface Volume_Res,P_int_Res,N_Mulliken_CoL2,N_NPA_CoL2,O_Mulliken_CoL2,O_NPA_CoL2,Co_Mulliken_CoL2,Co_NPA_CoL2,N_Mulliken_Free,N_NPA_Free,O_Mulliken_Free,O_NPA_Free,N_Mulliken_Free,N_NPA_Free,O_Mulliken_Free,O_NPA_Free
L146,279.1,262.8,17.4,0.349752572,0.337455304,0.325917816,0.310482745,0.289396275,243,219.8,16.1,243.5,218.8,16.1,-0.4518805,-0.53006,-0.4687025,-0.50172,0.039456,0.56415,-0.429295,-0.503475,-0.487561,-0.53593,-0.427639,-0.51148,-0.484233,-0.52752
L147,397.5,421.6,20.2,0.399563745,0.395439139,0.381295425,0.360398175,0.33366349,356.2,379.1,19.4,374.3,382.1,19.6,-0.624468,-0.707915,,,0.027665,0.56262,-0.56962,-0.71068,,,-0.565345,-0.69877,,
L148,269.4,270.7,17.1,0.396877849,0.380791865,0.354640328,0.321942306,0.28496494,235.7,229.2,16,240.5,229.7,15.8,-0.6173485,-0.70654,,,0.023592,0.5536,-0.5676115,-0.712455,,,-0.5570695,-0.70056,,
L149,247.6,237.8,17.6,0.346269045,0.313999181,0.274279025,0.230436503,0.192552753,206.8,191.2,16.5,209.5,192.3,16.4,-0.783472,-0.90836,-0.615637,-0.75081,0.046035,0.60831,-0.75882,-0.91523,-0.645918,-0.76796,-0.746185,-0.90659,-0.652161,-0.76441
L15,439.8,457.2,19,0.399514911,0.404611144,0.402167583,0.39121175,0.372473624,421.2,423.5,18,418.3,420.9,17.9,-0.457343,-0.525365,-0.4726765,-0.501375,-0.041402,0.5283,-0.4292045,-0.50341,-0.488697,-0.53024,-0.4332665,-0.509825,-0.487859,-0.526925
L150,435.4,458.4,19.8,0.435684985,0.449316523,0.446485977,0.433655577,0.415272773,423.9,419.2,19,421,418.2,18.9,-0.6302285,-0.70904,,,0.020181,0.56589,-0.591462,-0.717295,,,-0.584048,-0.69993,,
L151,432.3,447.1,19.6,0.402900768,0.387505587,0.361611303,0.326620787,0.290970172,406.2,405.2,19,405.1,407.7,18.9,-0.6126395,-0.704635,-0.493011,-0.5276,0.033147,0.56293,-0.5700915,-0.714635,-0.496041,-0.531145,-0.5547505,-0.69345,-0.4953565,-0.53074
L152,391.6,415.9,20.7,0.402575205,0.38713312,0.36245574,0.336125163,0.309968196,367.2,373.9,20.3,363.6,374.3,20.1,-0.615792,-0.702125,,,0.040342,0.56796,-0.5665165,-0.709155,,,-0.5540105,-0.688215,,
L153,376.2,387.7,19.8,0.426422711,0.434324717,0.432200429,0.420597728,0.40109413,355.7,347.8,18.8,360.8,349.3,18.8,-0.490438,-0.51531,-0.483276,-0.51969,-0.008591,0.53246,-0.449519,-0.490955,-0.502717,-0.55426,-0.450352,-0.490875,-0.495834,-0.54596
L154,663.2,715.5,20.8,0.534770152,0.523735474,0.512963567,0.49678403,0.47425864,661,684.1,19.8,656.8,681.2,20,-0.499444333,-0.560173333,-0.5051445,-0.547415,-0.103149,0.40516,-0.560254333,-0.55286,-0.525256,-0.56828,-0.484001333,-0.561093333,-0.509216,-0.56247
L155,694,758.8,21,0.537472327,0.544211859,0.542984765,0.530223915,0.507589984,672.2,723,21,691,724.6,20.1,-0.507365,-0.567553333,-0.4975255,-0.545675,-0.153601,0.4214,-0.574602667,-0.567936667,-0.5032465,-0.547175,-0.491908,-0.566886667,-0.503061,-0.559195
L156,519.3,545.6,21,0.542697617,0.541232122,0.534656867,0.523947148,0.507690387,490.2,509.2,20.6,506.6,510.6,20,-0.489566333,-0.583396667,-0.501269,-0.549975,-0.157487,0.41609,-0.568937667,-0.58171,-0.4962735,-0.54725,-0.469584333,-0.56459,-0.5070105,-0.56688
L157,399.2,404.3,20.4,0.547727569,0.527385653,0.499994176,0.468371765,0.433163642,374.6,371.2,19.9,379,367.6,19.4,-0.487309333,-0.577886667,-0.497086,-0.54856,-0.139881,0.39644,-0.570303,-0.5773,-0.4913465,-0.54916,-0.470292667,-0.564046667,-0.502863,-0.566555
L158,615.4,664.2,20.8,0.554955072,0.556093564,0.549425783,0.53265238,0.504841091,620.1,637.6,20.1,618.8,633.4,20,-0.490523667,-0.558103333,-0.5061075,-0.551485,-0.126079,0.38319,-0.563790333,-0.56494,-0.5108705,-0.555845,-0.487817333,-0.564223333,-0.5087465,-0.56508
L159,721.4,760.7,21.8,0.536983982,0.529527339,0.522421264,0.511110421,0.493902505,684,728.1,22.2,711,731.5,20.9,-0.490275667,-0.559446667,-0.4980345,-0.544865,-0.133513,0.39653,-0.561125,-0.56363,-0.5001805,-0.552405,-0.474466,-0.556556667,-0.502881,-0.559995
L16,477.5,501.3,19.5,0.426797109,0.431726758,0.423779351,0.409498945,0.3912627,455,464.4,19,460.2,464.2,18.6,-0.46516325,-0.500045,,,-0.130769,0.4798,-0.46113025,-0.5159225,,,-0.4649685,-0.5085275,,
L160,585.9,623.2,20.6,0.542567392,0.529266612,0.511985184,0.487558966,0.455374588,577.2,590.8,19.9,579.7,590.9,19.8,-0.489863,-0.557513333,-0.5028275,-0.549565,-0.131118,0.37182,-0.563580667,-0.56365,-0.508318,-0.55631,-0.483397333,-0.562606667,-0.506333,-0.563985
L161,546.5,575.5,20.5,0.541200026,0.513660235,0.483396618,0.448932406,0.409202414,528.5,543,19.9,528.8,540.5,19.8,-0.490228333,-0.55378,-0.502197,-0.548795,-0.122059,0.36482,-0.557673667,-0.551143333,-0.520345,-0.57025,-0.482613,-0.559973333,-0.5057565,-0.56425
L162,730.5,771.2,22.3,0.429466727,0.431391538,0.425596347,0.411128266,0.396692645,718.2,732.6,21.6,713.4,732.8,21.6,-0.4779855,-0.56574,-0.491395,-0.53971,-0.019825,0.503,-0.4455965,-0.55444,-0.492295,-0.54876,-0.438973,-0.53954,-0.502869,-0.564285
L163,885.9,1013.8,24.8,0.430427139,0.445191448,0.470159337,0.495841351,0.513668483,872.6,969.3,24.9,871.6,973.6,24,-0.4646045,-0.555985,-0.49293,-0.542455,-0.011612,0.53777,-0.427998,-0.54536,-0.4964535,-0.55742,-0.421867,-0.516865,-0.5044745,-0.568145
L164,856.2,938.5,24.2,0.420790468,0.429342968,0.450597512,0.46974505,0.479466069,833.1,895.3,23.8,835.6,902.8,23.4,-0.469681,-0.567715,-0.485153,-0.536785,-0.034228,0.52683,-0.438635,-0.55444,-0.490914,-0.552035,-0.4319145,-0.533245,-0.4976555,-0.56233
L165,1016.4,1089.5,22.3,0.436401224,0.445247318,0.450137439,0.452035876,0.45600686,963.6,1047.5,22.2,1000.8,1053,21.6,-0.4704275,-0.565335,-0.485237,-0.53574,-0.021687,0.51722,-0.4323835,-0.554775,-0.491283,-0.5559,-0.4325105,-0.53219,-0.4972745,-0.56182
L166,833.2,895.4,24,0.427171507,0.442733164,0.463479547,0.475723108,0.47697497,774,855.6,24.7,818.3,859.4,23.2,-0.4540635,-0.572805,-0.47568,-0.529895,-0.017898,0.52145,-0.4300265,-0.54281,-0.4945405,-0.56292,-0.425624,-0.540695,-0.488799,-0.55566
L167,793.3,833.4,22.8,0.424973955,0.427108164,0.430593086,0.42983443,0.424447508,761.7,792.9,22.9,773,798.5,22,-0.4681015,-0.566945,-0.4820395,-0.53485,-0.030664,0.51015,-0.435799,-0.55029,-0.494089,-0.55492,-0.433527,-0.536885,-0.494891,-0.56076
