SPS_L,NumRadicalElectrons_L,MaxPartialCharge_L,PEOE_VSA1_L,PEOE_VSA10_L,PEOE_VSA11_L,PEOE_VSA14_L,PEOE_VSA4_L,SlogP_VSA1_L,SlogP_VSA12_L,TPSA_L,EState_VSA9_L,VSA_EState2_L,VSA_EState4_L,NOCount_L,NumAliphaticHeterocycles_L,NumHAcceptors_L,fr_Imine_L,fr_bicyclic_L,ODI_HOMO_1_Free,ODI_HOMO_Free,ODI_Mean_Free,ODI_Std_Free,ALIEmin_Free,ODI_HOMO_Res,ODI_Std_Res,ESPmin_Res,ALIEmin_Res,Co_Mulliken_CoL2,Co_NPA_CoL2,ln(dr)
32.85714286,0.0,0.199804125,9.473725908,29.7066049,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,10.20396416,5.194143202,4.0,2.0,4.0,2.0,6.0,8.71,7.62,9.585,1.472896806,8.32653,8.89,0.245153013,-78.87705,8.10307,-0.009109,0.50464,1.66
32.55172414,0.0,0.199804112,9.473725908,29.7066049,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,10.32396416,5.178376479,4.0,2.0,4.0,2.0,6.0,6.77,5.82,7.035,0.81303444,8.3554,9.46,0.426790347,-78.3206,7.96149,0.002072,0.51273,1.59
32.26666667,0.0,0.199804112,9.473725908,29.7066049,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,10.40729749,5.172075038,4.0,2.0,4.0,2.0,6.0,8.42,7.43,10.135,2.238018096,8.33933,9.08,0.749149518,-78.10037,8.03868,-0.011274,0.5054,1.45
29.21212121,0.0,0.200505366,9.473725908,29.7066049,0.0,0.0,0.0,0.0,0.0,43.18,19.45853537,10.49004126,7.600218042,4.0,2.0,4.0,2.0,7.0,4.29,9.66,8.36,2.350095743,8.29167,11.52,1.707547584,-77.03017,8.14917,-0.01191,0.50664,1.66
26.45454545,0.0,0.199862951,9.473725908,29.7066049,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,10.35212459,5.965763977,4.0,2.0,4.0,2.0,6.0,7.69,5.55,6.79,1.808148224,8.34663,6.15,3.159434285,-80.34909,8.08521,-0.019183,0.5197,1.27
30.07692308,0.0,0.196274716,9.473725908,30.20952048,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,9.815445641,5.330231401,4.0,2.0,4.0,2.0,6.0,7.19,6.6,6.855,0.220737401,8.32681,9.15,1.040348499,-78.11758,8.0769,-0.011107,0.51095,1.15
32.0,0.0,0.199804112,9.473725908,29.7066049,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,10.49063083,5.165773598,4.0,2.0,4.0,2.0,6.0,5.35,6.15,5.475,0.454780167,8.47501,9.36,0.54760273,-78.21273,7.99141,-0.005841,0.50735,1.66
17.02777778,2.0,2.0,4.736862954,12.50462731,0.0,17.06867815,42.45991661,10.60907979,7.921588092,21.59,9.729267686,4.940991434,2.366290413,2.0,1.0,2.0,1.0,0.0,61.94,43.81,30.7925,23.03572701,6.86693,18.09,16.76629431,-62.45475,6.52906,-0.27665,0.34886,-3.0
17.17142857,2.0,2.0,4.736862954,18.54646814,0.0,17.06867815,31.06970357,10.60907979,7.921588092,21.59,9.729267686,4.915953641,2.245571392,2.0,1.0,2.0,1.0,0.0,61.51,44.45,31.24,22.62025862,6.87144,18.78,18.3024539,-64.69036,6.47772,-0.229976,0.36985,-3.0
16.71428571,0.0,0.216743722,4.736862954,6.606881965,0.0,0.0,0.0,15.91361969,7.921588092,21.59,9.729267686,4.964749937,1.216089241,2.0,1.0,2.0,1.0,0.0,11.86,19.56,11.935,4.669295985,6.87832,22.41,5.925179322,-62.53835,6.46724,-0.290669,0.34116,-2.94
16.3,0.0,0.216883504,9.473725908,12.3563938,0.0,0.0,0.0,20.65048264,7.921588092,30.82,14.46613064,4.984602545,1.087596823,3.0,1.0,3.0,1.0,0.0,12.4,12.81,10.3825,2.241722273,6.81032,18.67,4.801465271,-63.19544,6.37967,-0.266737,0.35188,-2.94
